Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual end),Custom field (Actual start),Custom field (Affected hardware),Custom field (Affected services),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Major incident),Custom field (Open forms),Custom field (Pending reason),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Responders),Satisfaction rating,Custom field (Satisfaction date),Custom field (Sentiment),Custom field (Severity),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Time to close after resolution),Custom field (Time to first response),Custom field (Time to resolution),Custom field (Total forms),Custom field (Urgency),Custom field (Vulnerability),Custom field (Work category),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
logout,TRCK-11,10288,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:05 PM,08/Sep/25 2:27 PM,01/Feb/26 10:51 PM,,,0,"|user story|Acceptance Criteria|
|""As a Driver
I want to be able to logout from my account
so that I can be able to enter by another account|1- user should be able to click on a button to logout from the app 
2- a confirmation dialog should appear to confirm the action|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@74679d54,,,,,,,,,,,,,,,,,,0|i000y5:,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,08/Sep/25 2:27 PM
Reset Password,TRCK-10,10287,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:05 PM,01/Feb/26 10:51 PM,01/Feb/26 10:50 PM,,,0,"|user story|Acceptance Criteria|
|As a user
I want to be able to reset my account password 
so that I can be able to change my password|user should be logged in to reset his password
1- user should enter his old password and new password 
2- if passwords doesn't match an error message should appear 
3- after password changes and email should be sent to user and user should be logged out then redirected to login page|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@50a263c6,,,,,,,,,,,,,,,,,,0|i000zi:zp,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 9:05 PM
Edite Vehical info,TRCK-9,10286,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:04 PM,01/Feb/26 10:51 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to be able to see my Vehical info
so that I can edite my Vehical info|1- Profile screen should show vehical details 
2- User should be able to update vehical (type - number -license )|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6fa9690f,,,,,,,,,,,,,,,,,,0|i000zi:zoi,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,01/Feb/26 10:51 PM
Edite My info,TRCK-8,10285,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:04 PM,01/Feb/26 10:50 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to be able to see my  profile info
so that I can edite my profile info|1- profile screen should show profile details 
2- user should be able to update his personal information (name - email - phone)
3- user should be able to upload a profile picture 
4- user should be able to reset his password|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@390b678d,,,,,,,,,,,,,,,,,,0|i000zi:zo,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 9:04 PM
My Profile,TRCK-7,10284,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:03 PM,01/Feb/26 10:50 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to be able to see my profile
so that I see details about my profile |1-Profile screen should show ( profile details , Vehical info) 
2- user can able to change language app
3- user can able  logout|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f466578,,,,,,,,,,,,,,,,,,0|i000zi:zl,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,01/Feb/26 10:50 PM
Section App,TRCK-6,10283,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:02 PM,08/Sep/25 2:26 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to browse the app main sections 
so that I can be able to switch between pages|application main sections should as follow 
1- Home Screen
2- Orders
4- profile |",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@60f8d277,,,,,,,,,,,,,,,,,,0|i000zi:zi,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 9:02 PM
Forget Password,TRCK-5,10282,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 9:02 PM,08/Sep/25 2:26 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to make a new password 
so that I can be able to login to app when I forget my password|1- user should be able to write his email 
2- if email is not exist en error message should appear
3- if email is valid, a verification code should be sent to his email and user should be redirected to enter verification code 
4- user should be able to send another verification code through email after 1 minute 
5- if verification code is not valid an error message should appear 
6- if verification code is correct user should be redirected to enter his new password and password confirmation . if password doesn't match each other an error message should appear 
7- when user successfully changes his password he should be redirected to login page 
8- OTP  Valid for 10 Minutes as of sending it, after which time it expires.
9- to resend OTP  be after count 30 sec|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@b6f7e1c,,,,,,,,,,,,,,,,,,0|i000xu:,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 9:02 PM
Login,TRCK-3,10280,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 8:59 PM,08/Sep/25 2:26 PM,,,,0,"|user story|Acceptance Criteria|
|As a Driver
I want to be able to login to app 
so that I can be able to make orders|1- Login should be through Email and password 
2- if email is not valid an error message should appear
3- password length should be at min 6 chars . With upper case letter and a number at least
4- if password is not matching rules and error message should appear 
5- user should be able to submit his data 
* if server respond with error an error message should appear 
* if login is done successfully then user should be redirected to home page and user data should be saved in local storage 
* the application should be able to remember the user that logged in and saves user data |",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4ac0fc24,,,,,,,,,,,,,,,,,,0|i000xh:,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 8:59 PM
Apply,TRCK-2,10279,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 8:58 PM,08/Sep/25 2:26 PM,,,,0,"|user story|Acceptance Criteria|
|As a User
I want to be able to apply to app 
so that I can be able to make a new account|1- Application fields should be 
(First legal name, Second legal name,Vehicle name,Email,ID number,Phone number,Password, confirmation password)
*phone number should be a valid phone number 
2-User Should choose 
(Countery, Vehicle type, Gender)
3-User upload
(license car photo, ID photo)
4- if some fields  is not matching validation rules an error message should appear 
5- user should be able to submit his data 
* if server respond with error and error message should appear 
* if login is done successfully then user should be redirected to Login page|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6b09c8a3,,,,,,,,,,,,,,,,,,0|i000xq:,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 8:58 PM
Onboarding,TRCK-1,10278,Story,To Do,TRCK,Elevate-TrackingApp,software,mohamed nabil,557058:2c07a04a-80be-48d1-b644-1337dce99fa1,,Medium,,,,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,21/Dec/24 8:52 PM,08/Sep/25 2:26 PM,,,,0,"|user story|Acceptance Criteria|
|As a User
I want to be able to start us  app 
so that I can be able to deliver orders|User can login or apply to app|",,Abdullah Magdy,712020:52cad909-a9ea-404f-9ca7-203234de6d66,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@495c0ec,,,,,,,,,,,,,,,,,,0|i000wz:,,,,,,,,,TRCK Sprint 1,,,,,,,,,,,,,,,,,To Do,21/Dec/24 8:52 PM
